Run,analyte_type,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,biospecimen_repository,biospecimen_repository_sample_id,body_site,Bytes,Center Name,Consent_Code,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gap_accession,gap_parent_phs,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,study_design,study_name,submitted_subject_id,alignment_software (exp),AssemblyName,region
SRR3583840,cytosolic mRNA,RNA-Seq,75,3079192425,PRJNA242448,SAMN04094129,Spatiotemporal_Transcriptome_Brain,HSB149_DFC_L_mRNA,Dorsolateral prefrontal cortex,1228264518,NIMH-PHS000731,1,GRU,"run.zq,sra,bam","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.dbgap",SRX1798210,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB149_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:09:00Z,1,HSB149_DFC_L_mRNA,female,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB149,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583856,cytosolic mRNA,RNA-Seq,75,2711557575,PRJNA242448,SAMN04094159,Spatiotemporal_Transcriptome_Brain,HSB150_DFC_R_mRNA,Dorsolateral prefrontal cortex,1197874392,NIMH-PHS000731,1,GRU,"bam,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.dbgap",SRX1798226,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB150_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:10:00Z,1,HSB150_DFC_R_mRNA,female,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB150,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583871,cytosolic mRNA,RNA-Seq,75,4304050125,PRJNA242448,SAMN04094864,Spatiotemporal_Transcriptome_Brain,HSB153_DFC_R_mRNA,Dorsolateral prefrontal cortex,1708101634,NIMH-PHS000731,1,GRU,"run.zq,bam,sra","gs,s3,ncbi","gs.US,ncbi.dbgap,s3.us-east-1",SRX1798241,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB153_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:12:00Z,1,HSB153_DFC_R_mRNA,female,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB153,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583886,cytosolic mRNA,RNA-Seq,75,3786711900,PRJNA242448,SAMN04094872,Spatiotemporal_Transcriptome_Brain,HSB154_DFC_R_mRNA,Dorsolateral prefrontal cortex,1717264248,NIMH-PHS000731,1,GRU,"run.zq,bam,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.dbgap",SRX1798256,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB154_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:12:00Z,1,HSB154_DFC_R_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB154,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583899,cytosolic mRNA,RNA-Seq,75,2234563875,PRJNA242448,SAMN04094659,Spatiotemporal_Transcriptome_Brain,HSB155_DFC_R_mRNA,Dorsolateral prefrontal cortex,972663001,NIMH-PHS000731,1,GRU,"bam,run.zq,sra","s3,gs,ncbi","ncbi.dbgap,gs.US,s3.us-east-1",SRX1798269,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB155_DFC_R_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:09:00Z,1,HSB155_DFC_R_mRNA,female,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB155,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583913,cytosolic mRNA,RNA-Seq,75,2782157025,PRJNA242448,SAMN04094883,Spatiotemporal_Transcriptome_Brain,HSB159_DFC_L_mRNA,Dorsolateral prefrontal cortex,1181073520,NIMH-PHS000731,1,GRU,"run.zq,bam,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.dbgap",SRX1798283,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB159_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:17:00Z,1,HSB159_DFC_L_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB159,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583927,cytosolic mRNA,RNA-Seq,75,3530577900,PRJNA242448,SAMN04094554,Spatiotemporal_Transcriptome_Brain,HSB171_DFC_L_mRNA,Dorsolateral prefrontal cortex,1496992667,NIMH-PHS000731,1,GRU,"sra,bam,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.dbgap,gs.US",SRX1798297,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB171_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:14:00Z,1,HSB171_DFC_L_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB171,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583940,cytosolic mRNA,RNA-Seq,75,3685521225,PRJNA242448,SAMN04094192,Spatiotemporal_Transcriptome_Brain,HSB172_DFC_L_mRNA,Dorsolateral prefrontal cortex,1950419579,NIMH-PHS000731,1,GRU,"bam,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.dbgap,gs.US",SRX1798310,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB172_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T04:20:00Z,1,HSB172_DFC_L_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB172,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583967,cytosolic mRNA,RNA-Seq,75,3813595575,PRJNA242448,SAMN04094227,Spatiotemporal_Transcriptome_Brain,HSB174_DFC_L_mRNA,Dorsolateral prefrontal cortex,1696684824,NIMH-PHS000731,1,GRU,"run.zq,sra,bam","s3,ncbi","ncbi.dbgap,s3.us-east-1",SRX1798337,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB174_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2022-10-17T13:27:00Z,2,HSB174_DFC_L_mRNA,male,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB174,STAR 2.4.0e,GCA_000001405.16,DFC
SRR3583979,cytosolic mRNA,RNA-Seq,75,3167930400,PRJNA242448,SAMN04095021,Spatiotemporal_Transcriptome_Brain,HSB175_DFC_L_mRNA,Dorsolateral prefrontal cortex,1314190869,NIMH-PHS000731,1,GRU,"run.zq,bam,sra","ncbi,gs,s3","s3.us-east-1,ncbi.dbgap,gs.US",SRX1798349,phs000731,phs000755,Illumina Genome Analyzer IIx,HSB175_DFC_L_mRNA,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-24T00:00:00Z,2016-05-25T03:10:00Z,1,HSB175_DFC_L_mRNA,female,SRP075652,Control Set,BrainSpan Atlas of the Developing and Adult Human Brain,HSB175,STAR 2.4.0e,GCA_000001405.16,DFC
