individualID,specimenID,specimenIdSource,organ,tissue,BrodmannArea,sampleStatus,tissueWeight,tissueVolume,nucleicAcidSource,cellType,fastingState,isPostMortem,samplingAge,samplingAgeUnits,visitNumber,assay,exclude,excludeReason,samplingDate,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,isStranded,readStrandOrigin,runType,readLength,notes
R2367199,339_120501,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.4,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2346589,384_120503,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.1,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2310801,488_120515,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.3,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2264515,509_120515,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.1,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2237803,666_120530,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.2,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2212277,587_120522,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.9,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2197944,560_120517,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.3,,0,0,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2167020,657_120529,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.3,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2166876,665_120530,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.6,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2140101,29_120416,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.9,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2124216,240_120426,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2111091,581_120521,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.9,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2110067,269_120430,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.6,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2079629,523_120515,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.2,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2045909,548_120516,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R2006886,532_120516,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.2,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1980623,296_120430,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.9,,2,2,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1977848,496_120515,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.6,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1969233,396_120503,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,9,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1944372,21_120411,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.1,,3,3,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1924916,14_120410,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.4,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1924801,564_120517,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.7,,1,1,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1888413,354_120501,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.6,,2,2,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1845714,721_120531,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,5.8,,4,4,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1830086,171_120423,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.3,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1822146,575_120521,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.4,,2,2,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1801421,323_120501,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,8.2,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1777884,364_120502,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,6.9,,5,5,polyAselection,,True,,pairedEnd,101,data contribution batch 1
R1748114,72_120417,"",brain,dorsolateral prefrontal cortex,"","",,,bulk cell,"",,,"",,,rnaSeq,,"",,,7.8,,6,6,polyAselection,,True,,pairedEnd,101,data contribution batch 1
