Gene,Gene_name,In_OMIM,In_OpenTargets_Platform,OpenTargets_score,OpenTargets_sources,In_ClinVar,In_SZDB,Databases
TMEM161B,transmembrane protein 161B,N,Y,0.2795490923483266,gwas_credible_sets,N,N,OpenTargets_Platform
TMEM163,transmembrane protein 163,N,Y,0.04958028543760433,gwas_credible_sets,N,N,OpenTargets_Platform
TMEM17,transmembrane protein 17,N,Y,0.15126895475033741,gwas_credible_sets|expression_atlas,N,N,OpenTargets_Platform
TMEM178B,transmembrane protein 178B,N,Y,0.05437849701878428,gwas_credible_sets,N,N,OpenTargets_Platform
TMEM184A,transmembrane protein 184A,N,Y,0.032558382958570324,gwas_credible_sets,N,N,OpenTargets_Platform
TMEM219,transmembrane protein 219,N,Y,0.08164740780885783,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TMEM238L,transmembrane protein 238 like,N,Y,0.025007924959013546,gwas_credible_sets,N,N,OpenTargets_Platform
TMEM243,transmembrane protein 243,N,Y,0.03798110519414737,gwas_credible_sets,N,N,OpenTargets_Platform
TMEM247,transmembrane protein 247,N,Y,0.02268542513161077,gwas_credible_sets,N,N,OpenTargets_Platform
TMEM258,transmembrane protein 258,N,Y,0.0214434580188349,gwas_credible_sets,N,N,OpenTargets_Platform
TMEM26,transmembrane protein 26,N,Y,0.0860976370903656,gwas_credible_sets,N,N,OpenTargets_Platform
TMEM276,transmembrane protein 276,N,Y,0.02614026774269348,gwas_credible_sets,N,N,OpenTargets_Platform
TMLHE,,N,N,,,Y,N,ClinVar
TMTC1,transmembrane O-mannosyltransferase targeting cadherins 1,N,Y,0.5095766468562556,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TMX2,thioredoxin related transmembrane protein 2,N,Y,0.08924222036178579,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TNKS,tankyrase,N,Y,0.03467450924226293,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TNS1,tensin 1,N,Y,0.1643433580320807,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TOM1L1,target of myb1 like 1 membrane trafficking protein,N,Y,0.301989576654598,gwas_credible_sets,N,N,OpenTargets_Platform
TOM1L2,target of myb1 like 2 membrane trafficking protein,N,Y,0.05976407203929796,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TOP3B,DNA topoisomerase III beta,Y,N,0.04160195839412071,europepmc,N,N,OMIM
TP53I11,tumor protein p53 inducible protein 11,N,Y,0.02427657291732009,gwas_credible_sets,N,N,OpenTargets_Platform
TPH1,tryptophan hydroxylase 1,Y,N,0.03328582651444311,europepmc,N,N,OMIM
TPH2,tryptophan hydroxylase 2,Y,Y,0.053307207556901014,gwas_credible_sets|europepmc,N,N,OMIM|OpenTargets_Platform
TPRA1,transmembrane protein adipocyte associated 1,N,Y,0.01997793977209479,gwas_credible_sets,N,N,OpenTargets_Platform
TRA2B,transformer 2 beta homolog,N,Y,0.2679832707518452,gwas_credible_sets,N,N,OpenTargets_Platform
TRAF3,TNF receptor associated factor 3,N,Y,0.284299294228507,gwas_credible_sets,N,N,OpenTargets_Platform
TRAF3IP2,TRAF3 interacting protein 2,Y,Y,0.05499253210044198,gwas_credible_sets|europepmc|expression_atlas,N,N,OMIM|OpenTargets_Platform
TRAF5,TNF receptor associated factor 5,N,Y,0.019760509856461436,gwas_credible_sets,N,N,OpenTargets_Platform
TRANK1,tetratricopeptide repeat and ankyrin repeat containing 1,N,Y,0.3548418745865166,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TRAPPC9,trafficking protein particle complex subunit 9,N,N,0.005017662493769301,europepmc,Y,N,ClinVar
TRARG1,trafficking regulator of GLUT4 (SLC2A4) 1 (gene/pseudogene),N,Y,0.022845289986597957,gwas_credible_sets,N,N,OpenTargets_Platform
TREX1,three prime repair exonuclease 1,Y,N,,,N,N,OMIM
TRHR,thyrotropin releasing hormone receptor,N,Y,0.055699743959528585,gwas_credible_sets,N,N,OpenTargets_Platform
TRIM21,tripartite motif containing 21,N,Y,0.11777642613476702,gwas_credible_sets,N,N,OpenTargets_Platform
TRIM32,tripartite motif containing 32,N,N,0.006198264807345431,europepmc,Y,N,ClinVar
TRIM77,tripartite motif containing 77,N,Y,0.113232626217297,gwas_credible_sets,N,N,OpenTargets_Platform
TRIM8,tripartite motif containing 8,N,Y,0.0666017454065648,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TRMT61A,tRNA methyltransferase 61A,N,Y,0.24299595446056022,gwas_credible_sets,N,N,OpenTargets_Platform
TRNT1,tRNA nucleotidyl transferase 1,N,Y,0.01891585331999538,gwas_credible_sets,N,N,OpenTargets_Platform
TRPC4,transient receptor potential cation channel subfamily C member 4,N,Y,0.2988240579392141,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TRPS1,transcriptional repressor GATA binding 1,N,Y,0.39777230401537633,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TRRAP,transformation/transcription domain associated protein,Y,N,0.00909524499197641,europepmc,N,N,OMIM
TSEN15,tRNA splicing endonuclease subunit 15,N,Y,0.045931711367364195,gwas_credible_sets,N,N,OpenTargets_Platform
TSNARE1,t-SNARE domain containing 1,Y,Y,0.4572625583999661,gwas_credible_sets|europepmc,N,N,OMIM|OpenTargets_Platform
TSNAX,translin associated factor X,Y,N,0.030120966307121702,europepmc,N,N,OMIM
TSNAX-DISC1,,N,N,,,Y,N,ClinVar
TSPAN18,tetraspanin 18,N,Y,0.30932924391263195,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TSPAN8,tetraspanin 8,N,Y,0.2658766251178704,gwas_credible_sets|europepmc,N,N,OpenTargets_Platform
TSSK1B,testis specific serine kinase 1B,N,Y,0.06804753276406282,gwas_credible_sets,N,N,OpenTargets_Platform
TSSK6,testis specific serine kinase 6,N,Y,0.1086487899759265,gwas_credible_sets,N,N,OpenTargets_Platform
TTBK1,tau tubulin kinase 1,N,N,0.00813075680306344,europepmc,Y,N,ClinVar
TTC12,tetratricopeptide repeat domain 12,N,Y,0.0263277896003417,gwas_credible_sets,N,N,OpenTargets_Platform
TTC14,tetratricopeptide repeat domain 14,N,Y,0.143924717822677,gwas_credible_sets,N,N,OpenTargets_Platform
TTC21B,tetratricopeptide repeat domain 21B,N,Y,0.05671356971298816,gwas_credible_sets,N,N,OpenTargets_Platform
TTC7B,tetratricopeptide repeat domain 7B,N,Y,0.378547475336055,gwas_credible_sets,N,N,OpenTargets_Platform
TTI2,TELO2 interacting protein 2,N,Y,0.028784065599417073,gwas_credible_sets,N,N,OpenTargets_Platform
TTLL11,tubulin tyrosine ligase like 11,N,Y,0.22683694228397633,gwas_credible_sets,N,N,OpenTargets_Platform
TTLL6,tubulin tyrosine ligase like 6,N,Y,0.02579824225906854,gwas_credible_sets,N,N,OpenTargets_Platform
TTLL7,tubulin tyrosine ligase like 7,N,Y,0.1424038016968717,gwas_credible_sets|impc,N,N,OpenTargets_Platform
TTN,titin,N,Y,0.1517554386328413,eva|gwas_credible_sets|europepmc,Y,N,OpenTargets_Platform|ClinVar
TTYH3,tweety family member 3,N,Y,0.25446834762354514,gwas_credible_sets,N,N,OpenTargets_Platform
TUBA1A,tubulin alpha 1a,N,Y,0.0826721389829869,clinical_precedence|impc|europepmc,N,N,OpenTargets_Platform
TUBA1B,tubulin alpha 1b,N,Y,0.07885140191304231,clinical_precedence|europepmc,N,N,OpenTargets_Platform
TUBA1C,tubulin alpha 1c,N,Y,0.07391597093694036,clinical_precedence,N,N,OpenTargets_Platform
TUBA3C,tubulin alpha 3c,N,Y,0.07391597093694036,clinical_precedence,N,N,OpenTargets_Platform
TUBA3E,tubulin alpha 3e,N,Y,0.07391597093694036,clinical_precedence,N,N,OpenTargets_Platform
TUBA4A,tubulin alpha 4a,N,Y,0.07532505928132166,clinical_precedence|europepmc|expression_atlas,N,N,OpenTargets_Platform
TUBB,tubulin beta class I,N,Y,0.07445689211869973,clinical_precedence|europepmc,N,N,OpenTargets_Platform
TUBB1,tubulin beta 1 class VI,N,Y,0.07391597093694036,clinical_precedence,N,N,OpenTargets_Platform
TUBB2A,tubulin beta 2A class IIa,N,Y,0.07668781984707562,clinical_precedence|europepmc,N,N,OpenTargets_Platform
TUBB2B,tubulin beta 2B class IIb,N,Y,0.07496424486001543,clinical_precedence|europepmc|expression_atlas,N,N,OpenTargets_Platform
TUBB3,tubulin beta 3 class III,N,Y,0.07626690945701806,clinical_precedence|europepmc,N,N,OpenTargets_Platform
TUBB4A,tubulin beta 4A class IVa,N,Y,0.07437794575529624,clinical_precedence|europepmc,N,N,OpenTargets_Platform
TUBB4B,tubulin beta 4B class IVb,N,Y,0.07391597093694036,clinical_precedence,N,N,OpenTargets_Platform
TUBB6,tubulin beta 6 class V,N,Y,0.07437794575529624,clinical_precedence|europepmc,N,N,OpenTargets_Platform
TUBB8,tubulin beta 8 class VIII,N,Y,0.07391597093694036,clinical_precedence,N,N,OpenTargets_Platform
TUBG2,tubulin gamma 2,N,Y,0.02794905058608099,gwas_credible_sets,N,N,OpenTargets_Platform
